Dry soap bottles
Go to the shower or bath. Locate bottles of soap or shampoo. Pick up each bottle and, using a towel, dry off the bottle. Return each bottle to its original location.


[FIND] <towel> (1.1000)
[FIND] <soap> (1.1001)
[GRAB] <soap> (1.1001)
[WIPE] <soap> (1.1001)
[PUTOBJBACK] <soap> (1.1001)
[FIND] <shampoo> (1.1002)
[GRAB] <shampoo> (1.1002)
[WIPE] <shampoo> (1.1002)
[PUTOBJBACK] <shampoo> (1.1002)
[FIND] <shampoo> (2.1003)
[GRAB] <shampoo> (2.1003)
[WIPE] <shampoo> (2.1003)
[PUTOBJBACK] <shampoo> (2.1003)
