5
is_off: ('COMPUTER', '1') --> 
atreach: ('TABLE', '1') --> ('TABLE', '1'), ('COMPUTER', '1') --> ('TABLE', '1'), ('MAIL', '1') --> ('TABLE', '1')
location: ('TABLE', '1') --> ('HOME OFFICE', '1'), ('COMPUTER', '1') --> ('HOME OFFICE', '1'), ('MAIL', '1') --> ('HOME OFFICE', '1')
closed: ('MAIL', '1') --> 
in: ('COMPUTER', '1') --> ('TABLE', '1')
Write an email
To writing down email to my friend. Walk to the home office. Grab the computer and switch on it. Open browser and type the mailer site address. After opening mailer site enter id and password to open my mail account. Click email window to open. Start writing email to my friend.


[Walk] <home_office> (1)
[Walk] <table> (1)
[Find] <table> (1)
[Find] <computer> (1)
[TurnTo] <computer> (1)
[LookAt] <computer> (1)
[SwitchOn] <computer> (1)
[Find] <mail> (1)
[Open] <mail> (1)
[Write] <mail> (1)
